Designator,Mid X,Mid Y,Layer,Rotation
ADC,14.17,33.30,Top,90.0
BATT,28.58,13.34,Top,270.0
C1, 2.57,71.25,Top,270.0
C2, 4.09,70.89,Top,270.0
C4,24.21,32.28,Top,180.0
C5,17.60,25.40,Top,0.0
C6,26.37,71.20,Top,90.0
C7,15.39,38.76,Top,90.0
C8,14.17,35.23,Top,90.0
C9,19.66,25.40,Top,180.0
C10, 8.69,28.19,Top,90.0
C11,17.93,10.74,Top,90.0
C12, 3.33, 9.37,Top,180.0
C13, 9.70,30.73,Top,180.0
C14,19.51,17.78,Top,270.0
C15,17.48,17.78,Top,270.0
C16,15.44,19.69,Top,90.0
C17,11.51,40.79,Top,270.0
C18,22.68,34.80,Top,180.0
C19,13.49,29.87,Top,270.0
C20,22.28,37.72,Top,90.0
C21, 8.28,24.82,Top,90.0
D1,16.21, 8.28,Top,0.0
D2, 4.24,19.05,Top,180.0
IC3,22.23,21.59,Top,0.0
IC4,11.61,21.62,Top,270.0
IC5,14.61,64.77,Top,0.0
J3, 3.81,13.97,Top,90.0
L1,25.30,28.60,Top,270.0
L2,16.48,28.60,Top,270.0
L3,20.85,28.60,Top,270.0
L4,11.61,14.02,Top,180.0
ON/OFF, 5.77,22.07,Top,0.0
OTG, 6.99, 6.99,Top,0.0
POWER,22.23, 6.99,Top,0.0
Q1,16.97,42.95,Top,0.0
R1,18.87,42.95,Top,270.0
R2,27.41,71.20,Top,270.0
R3,15.04,42.93,Top,90.0
R4,16.43, 5.54,Top,270.0
R5,16.43, 3.02,Top,90.0
R6,17.75,35.20,Top,270.0
R7,16.71,35.20,Top,270.0
R8,13.08,35.23,Top,90.0
R9,15.27,35.23,Top,270.0
R11,24.21,31.24,Top,0.0
R12,22.15,32.28,Top,0.0
R13,17.60,24.36,Top,180.0
R14,17.60,23.32,Top,0.0
R15,19.66,24.36,Top,0.0
R16,19.66,23.32,Top,180.0
R17, 6.35, 9.37,Top,0.0
R18, 8.20,19.41,Top,270.0
R19,10.72,28.19,Top,270.0
R21,14.35,38.76,Top,90.0
RESET,21.44,42.95,Top,90.0
C22, 9.02,22.30,Bottom,180.0
C23,10.69,27.43,Bottom,0.0
CAM,14.61,46.36,Bottom,0.0
IC1,10.74,24.49,Bottom,90.0
Q2,20.96,26.54,Bottom,90.0
R22,19.46,19.08,Bottom,90.0
R23,19.05,24.00,Bottom,180.0
R24, 9.45,21.26,Bottom,0.0
R25,13.54,27.43,Bottom,180.0
